monster1,monster2,monster1_win_pct,monster2_win_pct
Giant Hyena,Succubus/Incubus,34.4%,65.6%
Giant Sea Horse,Hobgoblin,34.4%,65.6%
Giant Weasel,Scout,34.4%,65.6%
Killer Whale,Shambling Mound,34.4%,65.6%
Minotaur,Water Elemental,34.4%,65.6%
Mummy Lord,Young White Dragon,34.4%,65.6%
Berserker,Hunter Shark,65.6%,34.4%
Centaur,Green Dragon Wyrmling,65.6%,34.4%
Constrictor Snake,Imp,65.6%,34.4%
Copper Dragon Wyrmling,Giant Eagle,65.6%,34.4%
Cult Fanatic,Scout,65.6%,34.4%
Druid,Magma Mephit,65.6%,34.4%
Ghost,"Wereboar, Human Form",65.6%,34.4%
Giant Crab,Grimlock,65.6%,34.4%
Giant Wasp,Imp,65.6%,34.4%
Kobold,Mastiff,65.6%,34.4%
Marilith,Stone Giant,65.6%,34.4%
Orc,Spy,65.6%,34.4%
Thug,"Wererat, Hybrid Form",65.6%,34.4%
Thug,"Wererat, Rat Form",65.6%,34.4%
Vampire Spawn,"Wereboar, Human Form",65.6%,34.4%
Archmage,Mummy,34.3%,65.7%
Axe Beak,Brass Dragon Wyrmling,34.3%,65.7%
Bearded Devil,Mimic,34.3%,65.7%
Brass Dragon Wyrmling,Giant Spider,34.3%,65.7%
Drow,Giant Bat,34.3%,65.7%
Drow,Lizardfolk,34.3%,65.7%
Giant Wolf Spider,Magma Mephit,34.3%,65.7%
Guard,Hobgoblin,34.3%,65.7%
Lich,Roper,34.3%,65.7%
Ochre Jelly,"Werewolf, Hybrid Form",34.3%,65.7%
Ochre Jelly,"Werewolf, Wolf Form",34.3%,65.7%
Rakshasa,Xorn,34.3%,65.7%
Swarm of Rats,Thug,34.3%,65.7%
Chain Devil,Chuul,65.7%,34.3%
Darkmantle,Gnoll,65.7%,34.3%
Giant Centipede,Stirge,65.7%,34.3%
Ankheg,Gelatinous Cube,34.2%,65.8%
Ankheg,Swarm of Quippers,65.8%,34.2%
Boar,Imp,34.2%,65.8%
Brown Bear,Phase Spider,65.8%,34.2%
Chain Devil,Lamia,65.8%,34.2%
Cultist,Pony,34.2%,65.8%
Gelatinous Cube,"Wereboar, Human Form",34.2%,65.8%
Giant Hyena,Swarm of Quippers,65.8%,34.2%
Giant Spider,Specter,65.8%,34.2%
Mammoth,Stone Giant,65.8%,34.2%
Medusa,Rhinoceros,65.8%,34.2%
Ochre Jelly,Will-o'-Wisp,34.2%,65.8%
Ogre,Winter Wolf,34.2%,65.8%
Specter,Warhorse,65.8%,34.2%
Axe Beak,Draft Horse,34.1%,65.9%
Bugbear,Mummy,34.1%,65.9%
Centaur,Sea Hag,34.1%,65.9%
Crocodile,Harpy,34.1%,65.9%
Ettercap,Gargoyle,34.1%,65.9%
Giant Goat,Harpy,34.1%,65.9%
Specter,Wight,34.1%,65.9%
Brass Dragon Wyrmling,"Wererat, Hybrid Form",65.9%,34.1%
Brass Dragon Wyrmling,"Wererat, Rat Form",65.9%,34.1%
Draft Horse,Hippogriff,65.9%,34.1%
Draft Horse,Swarm of Ravens,65.9%,34.1%
Drow,Skeleton,65.9%,34.1%
Ghoul,Giant Goat,65.9%,34.1%
"Weretiger, Hybrid Form",Winter Wolf,65.9%,34.1%
"Weretiger, Tiger Form",Winter Wolf,65.9%,34.1%
Ancient Brass Dragon,Pit Fiend,34.0%,66.0%
Awakened Tree,Knight,66.0%,34.0%
Barbed Devil,Red Dragon Wyrmling,34.0%,66.0%
Clay Golem,Young Brass Dragon,66.0%,34.0%
Constrictor Snake,Ice Mephit,66.0%,34.0%
Cult Fanatic,Darkmantle,34.0%,66.0%
Doppelganger,Giant Hyena,66.0%,34.0%
Draft Horse,Giant Spider,34.0%,66.0%
Eagle,Hyena,66.0%,34.0%
Giant Frog,Scout,34.0%,66.0%
Giant Wasp,Ice Mephit,66.0%,34.0%
Invisible Stalker,Red Dragon Wyrmling,66.0%,34.0%
Saber-Toothed Tiger,Succubus/Incubus,66.0%,34.0%
Silver Dragon Wyrmling,Unicorn,34.0%,66.0%
Axe Beak,Ghoul,33.9%,66.1%
Axe Beak,"Wererat, Hybrid Form",33.9%,66.1%
Axe Beak,"Wererat, Rat Form",33.9%,66.1%
Giant Crab,Hobgoblin,33.9%,66.1%
Guard,Scout,33.9%,66.1%
Hobgoblin,Rust Monster,33.9%,66.1%
Manticore,"Wereboar, Boar Form",33.9%,66.1%
Manticore,"Wereboar, Hybrid Form",33.9%,66.1%
Ankheg,Will-o'-Wisp,66.1%,33.9%
Efreeti,Mammoth,66.1%,33.9%
Elk,Sahuagin,66.1%,33.9%
Giant Octopus,Hell Hound,66.1%,33.9%
Knight,Ogre,66.1%,33.9%
Swarm of Ravens,"Wererat, Hybrid Form",66.1%,33.9%
Swarm of Ravens,"Wererat, Rat Form",66.1%,33.9%
Drow,Flying Sword,33.8%,66.2%
Flying Snake,Stirge,33.8%,66.2%
Ghost,Gold Dragon Wyrmling,33.8%,66.2%
Giant Badger,Magmin,33.8%,66.2%
Griffon,Silver Dragon Wyrmling,33.8%,66.2%
Lion,Worg,33.8%,66.2%
Swarm of Beetles,Worg,33.8%,66.2%
Swarm of Centipedes,Worg,33.8%,66.2%
Swarm of Insects,Worg,33.8%,66.2%
Swarm of Spiders,Worg,33.8%,66.2%
Swarm of Wasps,Worg,33.8%,66.2%
Darkmantle,Giant Vulture,66.2%,33.8%
Elk,Giant Frog,66.2%,33.8%
Giant Octopus,Polar Bear,66.2%,33.8%
Killer Whale,"Vampire, Bat Form",66.2%,33.8%
Adult Blue Dragon,Nalfeshnee,33.7%,66.3%
Animated Armor,Wight,66.3%,33.7%
Black Bear,Cockatrice,66.3%,33.7%
Blue Dragon Wyrmling,Half-Red Dragon Veteran,33.7%,66.3%
Camel,Steam Mephit,33.7%,66.3%
Cockatrice,Giant Sea Horse,66.3%,33.7%
Elk,Giant Crab,66.3%,33.7%
Giant Owl,Swarm of Beetles,33.7%,66.3%
Giant Owl,Swarm of Centipedes,33.7%,66.3%
Giant Owl,Swarm of Insects,33.7%,66.3%
Giant Owl,Swarm of Spiders,33.7%,66.3%
Giant Owl,Swarm of Wasps,33.7%,66.3%
Gray Ooze,Scout,33.7%,66.3%
Knight,Plesiosaurus,33.7%,66.3%
Remorhaz,Solar,33.7%,66.3%
Archmage,Griffon,33.6%,66.4%
Black Bear,Swarm of Rats,33.6%,66.4%
Blink Dog,Giant Owl,33.6%,66.4%
Blink Dog,Giant Vulture,33.6%,66.4%
Deep Gnome (Svirfneblin),"Wererat, Human Form",33.6%,66.4%
Elk,Swarm of Bats,33.6%,66.4%
Flying Snake,Goat,33.6%,66.4%
Gibbering Mouther,Winter Wolf,33.6%,66.4%
Gorgon,Marilith,33.6%,66.4%
Hobgoblin,Spy,33.6%,66.4%
Noble,Priest,33.6%,66.4%
Red Dragon Wyrmling,Vrock,33.6%,66.4%
Thug,Warhorse,33.6%,66.4%
Awakened Shrub,Giant Fire Beetle,66.4%,33.6%
Blink Dog,Wolf,66.4%,33.6%
Constrictor Snake,Pony,66.4%,33.6%
Giant Wasp,Pony,66.4%,33.6%
Killer Whale,Water Elemental,66.4%,33.6%
Panther,Pony,66.4%,33.6%
Basilisk,Giant Octopus,66.5%,33.5%
Bone Devil,Hezrou,33.5%,66.5%
Deer,Flying Snake,66.5%,33.5%
Dust Mephit,Giant Frog,66.5%,33.5%
Elk,Guard,66.5%,33.5%
Gelatinous Cube,Veteran,33.5%,66.5%
Giant Crab,Giant Weasel,66.5%,33.5%
Grick,Will-o'-Wisp,33.5%,66.5%
Hezrou,Young Brass Dragon,66.5%,33.5%
Invisible Stalker,Wyvern,33.5%,66.5%
Minotaur Skeleton,Wraith,33.5%,66.5%
Nightmare,Troll,66.5%,33.5%
Ogre,Veteran,66.5%,33.5%
"Werebear, Bear Form",Xorn,66.5%,33.5%
"Werebear, Hybrid Form",Xorn,66.5%,33.5%
Archmage,Succubus/Incubus,33.4%,66.6%
Chimera,Water Elemental,33.4%,66.6%
Cult Fanatic,Reef Shark,33.4%,66.6%
Giant Badger,Ice Mephit,33.4%,66.6%
Half-Red Dragon Veteran,"Weretiger, Hybrid Form",33.4%,66.6%
Half-Red Dragon Veteran,"Weretiger, Tiger Form",33.4%,66.6%
Hezrou,Young Green Dragon,33.4%,66.6%
Merrow,Succubus/Incubus,33.4%,66.6%
Rhinoceros,"Weretiger, Human Form",33.4%,66.6%
Adult Black Dragon,Behir,66.6%,33.4%
Bearded Devil,White Dragon Wyrmling,66.6%,33.4%
Guardian Naga,Water Elemental,66.6%,33.4%
Hippogriff,Reef Shark,66.6%,33.4%
Magmin,Noble,66.6%,33.4%
Minotaur Skeleton,Plesiosaurus,66.6%,33.4%
Orc,Reef Shark,66.6%,33.4%
Bronze Dragon Wyrmling,Gelatinous Cube,33.3%,66.7%
Cult Fanatic,Giant Goat,33.3%,66.7%
Doppelganger,Hunter Shark,33.3%,66.7%
Drow,Giant Vulture,33.3%,66.7%
Gladiator,Guardian Naga,33.3%,66.7%
Griffon,Veteran,33.3%,66.7%
Hobgoblin,Swarm of Beetles,33.3%,66.7%
Hobgoblin,Swarm of Centipedes,33.3%,66.7%
Hobgoblin,Swarm of Insects,33.3%,66.7%
Hobgoblin,Swarm of Spiders,33.3%,66.7%
Hobgoblin,Swarm of Wasps,33.3%,66.7%
Owlbear,Winter Wolf,33.3%,66.7%
Priest,Swarm of Bats,33.3%,66.7%
Brass Dragon Wyrmling,Darkmantle,66.7%,33.3%
Brass Dragon Wyrmling,Flying Sword,66.7%,33.3%
Efreeti,Young Blue Dragon,66.7%,33.3%
Hobgoblin,Riding Horse,66.7%,33.3%
Ankheg,Bugbear,66.8%,33.2%
Assassin,Hunter Shark,66.8%,33.2%
Bandit,Magmin,33.2%,66.8%
Brass Dragon Wyrmling,Giant Goat,66.8%,33.2%
Cloaker,Red Dragon Wyrmling,33.2%,66.8%
Darkmantle,Giant Eagle,33.2%,66.8%
Giant Frog,Giant Poisonous Snake,33.2%,66.8%
Giant Goat,Shadow,66.8%,33.2%
Giant Octopus,Hunter Shark,33.2%,66.8%
Giant Scorpion,"Werewolf, Hybrid Form",66.8%,33.2%
Giant Scorpion,"Werewolf, Wolf Form",66.8%,33.2%
Giant Wolf Spider,Gray Ooze,33.2%,66.8%
Giant Wolf Spider,Zombie,33.2%,66.8%
Grick,"Werewolf, Hybrid Form",33.2%,66.8%
Grick,"Werewolf, Wolf Form",33.2%,66.8%
Guardian Naga,Shambling Mound,33.2%,66.8%
Rakshasa,Salamander,66.8%,33.2%
Riding Horse,Wolf,66.8%,33.2%
Tiger,Warhorse Skeleton,66.8%,33.2%
Bronze Dragon Wyrmling,Griffon,33.1%,66.9%
Bugbear,Doppelganger,33.1%,66.9%
Chain Devil,Couatl,33.1%,66.9%
Doppelganger,Gelatinous Cube,33.1%,66.9%
Blue Dragon Wyrmling,Saber-Toothed Tiger,66.9%,33.1%
Boar,Mule,66.9%,33.1%
Death Dog,Mage,66.9%,33.1%
Axe Beak,Rust Monster,33.0%,67.0%
Azer,Giant Octopus,33.0%,67.0%
Bearded Devil,Centaur,33.0%,67.0%
Bone Devil,Clay Golem,33.0%,67.0%
Cloaker,Minotaur Skeleton,33.0%,67.0%
Deer,Giant Centipede,33.0%,67.0%
Djinni,Young Bronze Dragon,33.0%,67.0%
Duergar,Giant Eagle,67.0%,33.0%
Giant Ape,Gorgon,67.0%,33.0%
Giant Goat,Lion,33.0%,67.0%
Iron Golem,Roc,33.0%,67.0%
Sahuagin,Scout,33.0%,67.0%
Veteran,"Weretiger, Human Form",33.0%,67.0%
Ape,"Wererat, Human Form",32.9%,67.1%
Bandit Captain,Gibbering Mouther,32.9%,67.1%
Blink Dog,Crocodile,32.9%,67.1%
Giant Wolf Spider,Wolf,32.9%,67.1%
Azer,White Dragon Wyrmling,67.1%,32.9%
Centaur,Giant Boar,67.1%,32.9%
Deep Gnome (Svirfneblin),Hobgoblin,67.1%,32.9%
Giant Sea Horse,Giant Weasel,67.1%,32.9%
Giant Sea Horse,Pony,67.1%,32.9%
Harpy,Rust Monster,67.1%,32.9%
Night Hag,"Vampire, Vampire Form",67.1%,32.9%
Vampire Spawn,Veteran,67.1%,32.9%
Assassin,Knight,32.8%,67.2%
Brass Dragon Wyrmling,Phase Spider,32.8%,67.2%
Centaur,Saber-Toothed Tiger,32.8%,67.2%
Crocodile,Satyr,32.8%,67.2%
Crocodile,Warhorse,32.8%,67.2%
Ettercap,Will-o'-Wisp,32.8%,67.2%
Giant Boar,Mummy,32.8%,67.2%
Half-Red Dragon Veteran,Troll,32.8%,67.2%
Scout,Shadow,32.8%,67.2%
Ancient Brass Dragon,Kraken,67.2%,32.8%
Awakened Tree,Half-Red Dragon Veteran,67.2%,32.8%
Brass Dragon Wyrmling,Spy,67.2%,32.8%
Crocodile,Giant Lizard,67.2%,32.8%
Drow,Magmin,67.2%,32.8%
Flying Sword,Hobgoblin,67.2%,32.8%
Giant Poisonous Snake,Priest,67.2%,32.8%
Hobgoblin,Wolf,67.2%,32.8%
Imp,Noble,67.2%,32.8%
Adult Brass Dragon,Adult White Dragon,32.7%,67.3%
Black Dragon Wyrmling,Giant Octopus,32.7%,67.3%
Brown Bear,Bugbear,32.7%,67.3%
Ghast,Mummy,32.7%,67.3%
Giant Hyena,Saber-Toothed Tiger,32.7%,67.3%
Green Dragon Wyrmling,Mummy,32.7%,67.3%
Hobgoblin,Orc,32.7%,67.3%
Invisible Stalker,Wraith,32.7%,67.3%
Pony,Priest,32.7%,67.3%
Assassin,Drider,67.3%,32.7%
Cultist,Merfolk,67.3%,32.7%
Giant Lizard,Giant Poisonous Snake,67.3%,32.7%
Guardian Naga,"Vampire, Bat Form",67.3%,32.7%
Owlbear,Silver Dragon Wyrmling,67.3%,32.7%
Unicorn,"Weretiger, Human Form",67.3%,32.7%
Adult Copper Dragon,Cloud Giant,32.6%,67.4%
Archmage,Giant Elk,32.6%,67.4%
Azer,Polar Bear,32.6%,67.4%
Commoner,Hyena,32.6%,67.4%
Dryad,Grimlock,32.6%,67.4%
Giant Badger,Giant Wasp,32.6%,67.4%
Giant Badger,Panther,32.6%,67.4%
Boar,Pseudodragon,67.4%,32.6%
Cult Fanatic,Drow,67.4%,32.6%
Cultist,Giant Rat,67.4%,32.6%
Cultist,Giant Rat (Diseased),67.4%,32.6%
Doppelganger,Mimic,67.4%,32.6%
Elk,Gray Ooze,67.4%,32.6%
Elk,Zombie,67.4%,32.6%
Shadow,Swarm of Rats,67.4%,32.6%
Bandit Captain,Giant Octopus,67.5%,32.5%
Brass Dragon Wyrmling,Reef Shark,67.5%,32.5%
Dire Wolf,Giant Elk,32.5%,67.5%
Dretch,Magma Mephit,32.5%,67.5%
Gelatinous Cube,Mummy,67.5%,32.5%
Giant Octopus,Green Dragon Wyrmling,67.5%,32.5%
Giant Owl,Swarm of Rats,67.5%,32.5%
Giant Vulture,Swarm of Beetles,32.5%,67.5%
Giant Vulture,Swarm of Centipedes,32.5%,67.5%
Giant Vulture,Swarm of Insects,32.5%,67.5%
Giant Vulture,Swarm of Spiders,32.5%,67.5%
Giant Vulture,Swarm of Wasps,32.5%,67.5%
Invisible Stalker,Minotaur,32.5%,67.5%
Mimic,Mummy,32.5%,67.5%
White Dragon Wyrmling,Wight,67.5%,32.5%
Ancient Copper Dragon,Ancient Green Dragon,32.4%,67.6%
Dretch,Giant Wasp,32.4%,67.6%
Dretch,Panther,32.4%,67.6%
Ghost,Troll,32.4%,67.6%
Goblin,Wolf,32.4%,67.6%
Gold Dragon Wyrmling,Minotaur Skeleton,32.4%,67.6%
Skeleton,Swarm of Bats,32.4%,67.6%
Succubus/Incubus,Veteran,32.4%,67.6%
"Wereboar, Human Form","Weretiger, Human Form",32.4%,67.6%
Animated Armor,Grick,67.6%,32.4%
Deep Gnome (Svirfneblin),Swarm of Rats,67.6%,32.4%
Elk,Giant Wasp,67.6%,32.4%
Elk,Panther,67.6%,32.4%
Giant Frog,Giant Weasel,67.6%,32.4%
Hippogriff,Shadow,67.6%,32.4%
Knight,"Weretiger, Human Form",67.6%,32.4%
Phase Spider,Warhorse,67.6%,32.4%
"Wereboar, Boar Form","Wereboar, Human Form",67.6%,32.4%
Animated Armor,Green Dragon Wyrmling,32.3%,67.7%
Blood Hawk,Noble,32.3%,67.7%
Blue Dragon Wyrmling,Knight,32.3%,67.7%
Brown Bear,Gargoyle,32.3%,67.7%
Camel,Tribal Warrior,32.3%,67.7%
Cultist,Grimlock,32.3%,67.7%
Giant Rat,Noble,32.3%,67.7%
Giant Rat (Diseased),Noble,32.3%,67.7%
Hunter Shark,Knight,32.3%,67.7%
Merfolk,Tribal Warrior,32.3%,67.7%
Plesiosaurus,Vrock,32.3%,67.7%
Roc,Storm Giant,32.3%,67.7%
Acolyte,Hyena,67.7%,32.3%
Androsphinx,Tyrannosaurus Rex,67.7%,32.3%
Awakened Tree,Ogre Zombie,67.7%,32.3%
Blue Dragon Wyrmling,Sea Hag,67.7%,32.3%
Clay Golem,Hydra,67.7%,32.3%
Djinni,Young Black Dragon,67.7%,32.3%
Giant Frog,Grimlock,67.7%,32.3%
Goblin,Quasit,67.7%,32.3%
Green Hag,Wyvern,67.7%,32.3%
Minotaur,Salamander,67.7%,32.3%
Orc,Shadow,67.7%,32.3%
Owlbear,Pegasus,67.7%,32.3%
Dretch,Giant Frog,32.2%,67.8%
Flesh Golem,Salamander,32.2%,67.8%
Mule,Noble,32.2%,67.8%
Ankheg,Azer,67.8%,32.2%
Centaur,Swarm of Quippers,67.8%,32.2%
Crocodile,Giant Vulture,67.8%,32.2%
Djinni,Gynosphinx,67.8%,32.2%
Dryad,Steam Mephit,67.8%,32.2%
Ghoul,Giant Bat,67.8%,32.2%
Ghoul,Lizardfolk,67.8%,32.2%
Giant Sea Horse,Ice Mephit,67.8%,32.2%
Hobgoblin,Skeleton,67.8%,32.2%
Blood Hawk,Dryad,32.1%,67.9%
Blue Dragon Wyrmling,Unicorn,32.1%,67.9%
Cloaker,Flesh Golem,32.1%,67.9%
Copper Dragon Wyrmling,White Dragon Wyrmling,32.1%,67.9%
Crocodile,Lion,32.1%,67.9%
Deva,Guardian Naga,32.1%,67.9%
Fire Elemental,Vrock,32.1%,67.9%
Giant Centipede,Pseudodragon,32.1%,67.9%
Invisible Stalker,"Werebear, Human Form",32.1%,67.9%
Magma Mephit,Riding Horse,32.1%,67.9%
Phase Spider,Swarm of Poisonous Snakes,32.1%,67.9%
Young Brass Dragon,Young White Dragon,32.1%,67.9%
Adult Brass Dragon,Young Silver Dragon,67.9%,32.1%
Elephant,Green Hag,67.9%,32.1%
Owl,Raven,67.9%,32.1%
Owl,Spider,67.9%,32.1%
Raven,Weasel,67.9%,32.1%
Spider,Weasel,67.9%,32.1%
Swarm of Poisonous Snakes,Warhorse Skeleton,67.9%,32.1%
Berserker,Manticore,68.0%,32.0%
Berserker,Unicorn,32.0%,68.0%
Black Bear,Giant Crab,68.0%,32.0%
Couatl,"Werebear, Bear Form",32.0%,68.0%
Couatl,"Werebear, Hybrid Form",32.0%,68.0%
Draft Horse,Orc,68.0%,32.0%
Dretch,Violet Fungus,68.0%,32.0%
Drider,Sea Hag,68.0%,32.0%
Drow,Ghoul,32.0%,68.0%
Giant Shark,Young Blue Dragon,32.0%,68.0%
Hobgoblin,"Wererat, Hybrid Form",32.0%,68.0%
Hobgoblin,"Wererat, Rat Form",32.0%,68.0%
Merfolk,Violet Fungus,32.0%,68.0%
Minotaur Skeleton,Oni,32.0%,68.0%
Mummy Lord,Night Hag,68.0%,32.0%
Adult Silver Dragon,Roc,31.9%,68.1%
Death Dog,Giant Toad,31.9%,68.1%
Drow,Reef Shark,31.9%,68.1%
Giant Owl,Warhorse,31.9%,68.1%
Gladiator,"Vampire, Vampire Form",31.9%,68.1%
Hydra,Triceratops,31.9%,68.1%
Hyena,Lemure,31.9%,68.1%
Black Bear,Elk,68.1%,31.9%
Brass Dragon Wyrmling,Shadow,68.1%,31.9%
Chain Devil,Salamander,68.1%,31.9%
Chimera,Rakshasa,68.1%,31.9%
Cockatrice,Constrictor Snake,68.1%,31.9%
Cockatrice,Giant Wasp,68.1%,31.9%
Cockatrice,Panther,68.1%,31.9%
Couatl,Green Hag,68.1%,31.9%
Giant Toad,Specter,68.1%,31.9%
Goat,Vulture,68.1%,31.9%
Specter,Swarm of Beetles,68.1%,31.9%
Specter,Swarm of Centipedes,68.1%,31.9%
Specter,Swarm of Insects,68.1%,31.9%
Specter,Swarm of Spiders,68.1%,31.9%
Specter,Swarm of Wasps,68.1%,31.9%
Swarm of Poisonous Snakes,Worg,68.1%,31.9%
Basilisk,Rhinoceros,31.8%,68.2%
Black Dragon Wyrmling,Polar Bear,31.8%,68.2%
Blink Dog,Giant Bat,31.8%,68.2%
Blink Dog,Lizardfolk,31.8%,68.2%
Blink Dog,Shadow,31.8%,68.2%
Centaur,Hunter Shark,31.8%,68.2%
Giant Elk,Ogre,31.8%,68.2%
Grimlock,Scout,31.8%,68.2%
Mastiff,Mule,31.8%,68.2%
Ankheg,Ghast,68.2%,31.8%
Copper Dragon Wyrmling,Swarm of Beetles,68.2%,31.8%
Copper Dragon Wyrmling,Swarm of Centipedes,68.2%,31.8%
Copper Dragon Wyrmling,Swarm of Insects,68.2%,31.8%
Copper Dragon Wyrmling,Swarm of Spiders,68.2%,31.8%
Copper Dragon Wyrmling,Swarm of Wasps,68.2%,31.8%
Dust Mephit,Magma Mephit,68.2%,31.8%
Efreeti,Giant Ape,68.2%,31.8%
Harpy,Orc,68.2%,31.8%
Mammoth,Roper,68.2%,31.8%
Bronze Dragon Wyrmling,Succubus/Incubus,31.7%,68.3%
Dryad,Pony,31.7%,68.3%
Ettercap,Ghast,31.7%,68.3%
Giant Bat,Swarm of Beetles,31.7%,68.3%
Giant Bat,Swarm of Centipedes,31.7%,68.3%
Giant Bat,Swarm of Insects,31.7%,68.3%
Giant Bat,Swarm of Spiders,31.7%,68.3%
Giant Bat,Swarm of Wasps,31.7%,68.3%
Giant Elk,"Wereboar, Boar Form",31.7%,68.3%
Giant Elk,"Wereboar, Hybrid Form",31.7%,68.3%
Giant Octopus,Manticore,31.7%,68.3%
Lizardfolk,Swarm of Beetles,31.7%,68.3%
Lizardfolk,Swarm of Centipedes,31.7%,68.3%
Lizardfolk,Swarm of Insects,31.7%,68.3%
Lizardfolk,Swarm of Spiders,31.7%,68.3%
Lizardfolk,Swarm of Wasps,31.7%,68.3%
Brass Dragon Wyrmling,Deep Gnome (Svirfneblin),68.3%,31.7%
Doppelganger,Merrow,68.3%,31.7%
Ancient Brass Dragon,Ancient White Dragon,31.6%,68.4%
Animated Armor,Swarm of Quippers,31.6%,68.4%
Deep Gnome (Svirfneblin),Harpy,31.6%,68.4%
Dryad,Noble,31.6%,68.4%
Flying Sword,Lion,31.6%,68.4%
Giant Goat,Warhorse,31.6%,68.4%
Giant Poisonous Snake,Hippogriff,31.6%,68.4%
Polar Bear,Saber-Toothed Tiger,31.6%,68.4%
Polar Bear,Sea Hag,31.6%,68.4%
Priest,Swarm of Rats,31.6%,68.4%
Specter,"Werewolf, Human Form",31.6%,68.4%
Bugbear,Swarm of Poisonous Snakes,68.4%,31.6%
Cat,Lizard,68.4%,31.6%
Crocodile,Swarm of Rats,68.4%,31.6%
Giant Lizard,Swarm of Bats,68.4%,31.6%
Axe Beak,Swarm of Ravens,31.5%,68.5%
Barbed Devil,Knight,68.5%,31.5%
Black Bear,Dust Mephit,68.5%,31.5%
Black Pudding,Doppelganger,31.5%,68.5%
Blue Dragon Wyrmling,Giant Elk,68.5%,31.5%
Copper Dragon Wyrmling,Mage,68.5%,31.5%
Ghost,Winter Wolf,31.5%,68.5%
Giant Badger,Giant Frog,31.5%,68.5%
Giant Elk,Owlbear,31.5%,68.5%
Giant Weasel,Goblin,68.5%,31.5%
Gynosphinx,Roper,31.5%,68.5%
Hezrou,Hydra,68.5%,31.5%
Knight,Vampire Spawn,68.5%,31.5%
Ogre Zombie,Plesiosaurus,31.5%,68.5%
Tiger,Worg,68.5%,31.5%
Brass Dragon Wyrmling,Giant Toad,31.4%,68.6%
Chain Devil,Gladiator,31.4%,68.6%
Chimera,"Vampire, Bat Form",31.4%,68.6%
Deep Gnome (Svirfneblin),Satyr,31.4%,68.6%
Ghost,Ogre Zombie,31.4%,68.6%
Bearded Devil,Swarm of Poisonous Snakes,68.6%,31.4%
Behir,Stone Golem,68.6%,31.4%
Commoner,Homunculus,68.6%,31.4%
Duergar,Swarm of Beetles,68.6%,31.4%
Duergar,Swarm of Centipedes,68.6%,31.4%
Duergar,Swarm of Insects,68.6%,31.4%
Duergar,Swarm of Spiders,68.6%,31.4%
Duergar,Swarm of Wasps,68.6%,31.4%
Giant Spider,Lion,68.6%,31.4%
Giant Weasel,Giant Wolf Spider,68.6%,31.4%
Gnoll,Hobgoblin,68.6%,31.4%
Green Hag,Salamander,68.6%,31.4%
Minotaur,Vrock,68.6%,31.4%
Bandit,Ice Mephit,31.3%,68.7%
Bat,Lizard,31.3%,68.7%
Deep Gnome (Svirfneblin),Specter,31.3%,68.7%
Fire Elemental,Salamander,31.3%,68.7%
Frost Giant,Stone Golem,31.3%,68.7%
Giant Boar,Giant Elk,31.3%,68.7%
Mummy,Veteran,31.3%,68.7%
Saber-Toothed Tiger,"Wereboar, Boar Form",31.3%,68.7%
Saber-Toothed Tiger,"Wereboar, Hybrid Form",31.3%,68.7%
Warhorse,"Werewolf, Human Form",31.3%,68.7%
Ghost,Rhinoceros,68.7%,31.3%
Gibbering Mouther,Sea Hag,68.7%,31.3%
Gynosphinx,Hezrou,68.7%,31.3%
Manticore,Mummy,68.7%,31.3%
"Vampire, Bat Form",Xorn,68.7%,31.3%
Wraith,Wyvern,68.7%,31.3%
Archmage,Mimic,68.8%,31.2%
Azer,Swarm of Poisonous Snakes,68.8%,31.2%
Bandit,Cultist,68.8%,31.2%
Bronze Dragon Wyrmling,Ghast,68.8%,31.2%
Darkmantle,Swarm of Rats,68.8%,31.2%
Doppelganger,Hell Hound,68.8%,31.2%
Drow,Dust Mephit,68.8%,31.2%
Druid,Pony,68.8%,31.2%
Elephant,Otyugh,68.8%,31.2%
Bandit Captain,Veteran,31.2%,68.8%
Cat,Poisonous Snake,31.2%,68.8%
Duergar,Tiger,31.2%,68.8%
Giant Goat,Specter,31.2%,68.8%
Hobgoblin,Swarm of Ravens,31.2%,68.8%
Archmage,Merrow,68.9%,31.1%
Brown Bear,Giant Spider,68.9%,31.1%
Bugbear,Tiger,68.9%,31.1%
Centaur,Giant Scorpion,68.9%,31.1%
Couatl,Otyugh,68.9%,31.1%
Crocodile,Hobgoblin,68.9%,31.1%
Giant Sea Horse,Grimlock,68.9%,31.1%
Bandit,Constrictor Snake,31.1%,68.9%
Bandit,Giant Wasp,31.1%,68.9%
Bandit,Panther,31.1%,68.9%
Bandit Captain,Rhinoceros,31.1%,68.9%
Bronze Dragon Wyrmling,Giant Elk,31.1%,68.9%
Flying Sword,Specter,31.1%,68.9%
Mummy Lord,Young Black Dragon,31.1%,68.9%
Ochre Jelly,Swarm of Quippers,31.1%,68.9%
Red Dragon Wyrmling,Salamander,31.1%,68.9%
Baboon,Stirge,31.0%,69.0%
Basilisk,Ghost,31.0%,69.0%
Jackal,Stirge,31.0%,69.0%
Lion,"Wererat, Human Form",69.0%,31.0%
Minotaur,"Werebear, Human Form",69.0%,31.0%
Plesiosaurus,"Weretiger, Hybrid Form",69.0%,31.0%
Plesiosaurus,"Weretiger, Tiger Form",69.0%,31.0%
Scout,Wolf,69.0%,31.0%
Wyvern,Xorn,31.0%,69.0%
Brown Bear,Duergar,69.1%,30.9%
Cockatrice,Sahuagin,69.1%,30.9%
